209.897,229.596,273.907,334.375,410.716,504.482,619.84,761.907,939.837,1156.78,1419.29
77.2393,84.4848,100.784,123.013,151,185.734,228.351,280.718,345.87,425.137,521.336
28.4756,31.1485,37.1678,45.363,55.7023,68.3935,84.1628,103.591,127.343,156.61,192.934
10.6411,11.639,13.8849,16.9486,20.8163,25.567,31.4632,38.6493,47.6129,58.4294,71.9234
4.36449,4.77351,5.69438,6.94755,8.53015,10.4966,12.8935,15.8713,19.4929,23.9927,29.4817
2.82843,3.09366,3.68991,4.50518,5.53038,6.80047,8.36138,10.2831,12.6367,15.5598,19.1465
4.36449,4.77407,5.69558,6.95562,8.52676,10.503,12.9082,15.8827,19.5085,24.0105,29.5404
10.6411,11.6398,13.8821,16.9455,20.819,25.5984,31.5034,38.6211,47.6,58.5629,71.9486
28.4756,31.1473,37.1612,45.3547,55.6604,68.454,84.3222,103.475,127.076,156.921,192.658
77.2393,84.4892,100.762,123.015,151.179,185.622,228.7,280.698,345.908,423.839,524.718
209.897,229.585,273.962,334.455,410.461,504.715,621.013,763.254,941.82,1154.24,1420.29
